id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,0,17,1,1,0,7,3,0,15
33,96,8,2,7,0,0,3,0,15
34,229,8,3,3,0,0,4,0,15
35,244,0,5,7,0,0,5,0,15
36,7,0,5,8,0,0,5,0,15
37,67,0,6,7,0,0,6,0,15
38,74,0,6,7,0,0,6,0,15
39,239,8,1,3,0,0,2,0,15
40,13,0,3,8,0,0,4,0,15
41,21,0,3,8,0,0,4,0,15
42,12,9,5,7,0,0,5,0,15
43,111,8,5,6,0,1,5,0,15
44,236,8,2,3,0,5,3,0,15
45,241,8,4,2,0,3,4,0,15
46,246,8,2,2,0,5,3,0,15
47,83,8,3,7,0,0,4,0,15
48,130,0,5,7,0,0,5,0,15
49,75,8,3,7,0,0,4,0,15
50,136,0,5,7,0,0,5,0,15
51,142,0,5,7,0,0,5,0,15
52,148,0,5,7,0,0,5,0,15
53,154,0,5,7,0,0,5,0,15
54,190,0,5,7,0,0,5,0,15
55,160,0,5,7,0,0,5,0,15
56,6,9,5,7,0,0,5,0,15
57,166,0,5,7,0,0,5,0,15
58,211,8,2,5,0,2,3,0,15
59,129,8,2,6,0,2,3,0,15
60,47,8,4,7,0,0,4,0,15
61,214,8,4,4,0,3,4,0,15
62,62,8,4,7,0,0,4,0,15
63,184,0,5,7,0,0,5,0,15
64,88,0,6,7,0,1,6,0,15
65,196,0,5,7,0,0,5,0,15
66,202,0,5,7,0,0,5,0,15
67,208,0,5,7,0,0,5,0,15
68,24,9,5,7,0,0,5,0,15
69,214,0,5,7,0,0,5,0,15
70,220,0,5,7,0,0,5,0,15
71,226,0,5,7,0,0,5,0,15
72,232,0,5,7,0,0,5,0,15
73,87,8,2,7,0,0,3,0,15
74,42,9,4,7,0,0,4,0,15
75,95,0,6,7,0,0,6,0,15
76,52,8,4,7,0,0,4,0,15
77,52,0,7,7,0,0,7,0,15
78,123,0,6,7,0,0,6,0,15
79,109,0,6,7,0,0,6,0,15
80,178,0,5,7,0,0,5,0,15
81,0,0,6,8,0,0,6,0,15
82,172,0,5,7,0,0,5,0,15
83,57,8,4,7,0,0,4,0,15
84,116,0,6,7,0,0,6,0,15
85,30,9,5,7,0,0,5,0,15
86,102,0,6,7,0,0,6,0,15
87,44,0,7,7,0,0,7,0,15
88,60,0,6,7,0,0,6,0,15
89,81,0,6,7,0,0,6,0,15
90,238,0,5,7,0,0,5,0,15
91,17,0,3,8,0,0,4,0,15
92,67,8,3,7,0,0,4,0,15
93,29,0,3,8,0,0,4,0,15
94,219,8,3,4,0,0,4,0,15
95,249,8,6,1,0,6,5,0,15
96,233,8,2,3,0,0,3,0,15
97,184,8,5,5,0,2,5,0,15
98,250,0,5,7,0,0,5,0,15
99,206,8,4,5,0,2,4,0,15
100,0,9,5,7,0,0,5,0,15
101,148,8,5,5,0,2,5,0,15
102,71,8,3,7,0,0,4,0,15
103,99,8,5,6,0,2,5,0,15
104,36,9,5,7,0,0,5,0,15
105,90,8,2,7,0,0,3,0,15
106,33,0,3,8,0,0,4,0,15
107,18,9,5,7,0,0,5,0,15
108,93,8,2,7,0,0,3,0,15
109,132,8,7,5,0,2,8,0,15
110,154,8,5,5,0,2,5,0,15
111,160,8,5,5,0,2,5,0,15
112,117,8,5,6,0,2,5,0,15
113,123,8,5,6,0,2,5,0,15
114,196,8,4,5,0,2,4,0,15
115,201,8,4,5,0,2,4,0,15
116,79,8,3,7,0,0,4,0,15
117,166,8,5,5,0,2,5,0,15
118,172,8,5,5,0,2,5,0,15
119,140,8,7,5,0,2,7,0,15
120,178,8,5,5,0,2,5,0,15
121,105,8,5,6,0,2,5,0,15
122,190,8,5,5,0,2,5,0,15
123,37,0,3,8,0,0,4,0,15
124,41,0,2,8,0,0,3,0,15
125,25,0,3,8,0,0,4,0,15
126,223,8,5,3,0,0,5,0,15
