id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,99,19,1,1,0,20,8,0,15
33,249,0,5,18,0,2,8,0,15
34,101,77,8,6,0,2,10,0,15
35,70,41,13,18,0,2,15,0,15
36,16,0,13,21,0,2,15,0,15
37,153,0,15,18,0,2,18,0,15
38,169,0,15,18,0,2,18,0,15
39,116,74,3,6,0,2,5,0,15
40,30,0,8,21,0,2,10,0,15
41,48,0,8,21,0,2,10,0,15
42,126,38,13,18,0,2,15,0,15
43,0,79,13,13,0,5,15,0,15
44,81,77,5,8,0,15,8,0,15
45,142,71,10,3,0,10,13,0,15
46,120,74,5,5,0,15,8,0,15
47,18,60,8,18,0,2,10,0,15
48,48,22,13,18,0,2,15,0,15
49,9,60,8,18,0,2,10,0,15
50,62,22,13,18,0,2,15,0,15
51,76,22,13,18,0,2,15,0,15
52,90,22,13,18,0,2,15,0,15
53,104,19,13,18,0,2,15,0,15
54,98,41,13,18,0,2,15,0,15
55,132,19,13,18,0,2,15,0,15
56,146,19,13,18,0,2,15,0,15
57,160,19,13,18,0,2,15,0,15
58,248,57,5,13,0,7,8,0,15
59,104,60,5,16,0,7,8,0,15
60,207,38,10,18,0,2,13,0,15
61,61,77,10,8,0,10,13,0,15
62,229,38,10,18,0,2,13,0,15
63,188,19,13,18,0,2,15,0,15
64,201,0,15,18,0,5,18,0,15
65,202,19,13,18,0,2,15,0,15
66,216,19,13,18,0,2,15,0,15
67,230,19,13,18,0,2,15,0,15
68,168,38,13,18,0,2,15,0,15
69,0,41,13,18,0,2,15,0,15
70,14,41,13,18,0,2,15,0,15
71,28,41,13,18,0,2,15,0,15
72,42,41,13,18,0,2,15,0,15
73,249,38,5,18,0,2,8,0,15
74,244,19,10,18,0,2,13,0,15
75,32,22,15,18,0,2,18,0,15
76,196,38,10,18,0,2,13,0,15
77,118,0,18,18,0,2,20,0,15
78,137,0,15,18,0,2,18,0,15
79,217,0,15,18,0,2,18,0,15
80,174,19,13,18,0,2,15,0,15
81,0,0,15,21,0,2,18,0,15
82,118,19,13,18,0,2,15,0,15
83,218,38,10,18,0,2,13,0,15
84,233,0,15,18,0,2,18,0,15
85,182,38,13,18,0,2,15,0,15
86,185,0,15,18,0,2,18,0,15
87,99,0,18,18,0,2,20,0,15
88,16,22,15,18,0,2,18,0,15
89,0,22,15,18,0,2,18,0,15
90,56,41,13,18,0,2,15,0,15
91,39,0,8,21,0,2,10,0,15
92,240,38,8,18,0,2,10,0,15
93,57,0,8,21,0,2,10,0,15
94,72,77,8,8,0,2,10,0,15
95,126,74,15,3,0,17,15,0,15
96,110,74,5,6,0,2,8,0,15
97,14,79,13,13,0,7,15,0,15
98,84,41,13,18,0,2,15,0,15
99,50,77,10,13,0,7,13,0,15
100,154,38,13,18,0,2,15,0,15
101,234,57,13,13,0,7,15,0,15
102,0,60,8,18,0,2,10,0,15
103,48,60,13,16,0,7,15,0,15
104,112,38,13,18,0,2,15,0,15
105,36,60,5,18,0,2,8,0,15
106,75,0,8,21,0,2,10,0,15
107,140,38,13,18,0,2,15,0,15
108,42,60,5,18,0,2,8,0,15
109,110,60,20,13,0,7,23,0,15
110,178,57,13,13,0,7,15,0,15
111,206,57,13,13,0,7,15,0,15
112,62,60,13,16,0,7,15,0,15
113,76,60,13,16,0,7,15,0,15
114,28,79,10,13,0,7,13,0,15
115,39,79,10,13,0,7,13,0,15
116,27,60,8,18,0,2,10,0,15
117,150,57,13,13,0,7,15,0,15
118,164,57,13,13,0,7,15,0,15
119,131,57,18,13,0,7,20,0,15
120,192,57,13,13,0,7,15,0,15
121,90,60,13,16,0,7,15,0,15
122,220,57,13,13,0,7,15,0,15
123,84,0,8,21,0,2,10,0,15
124,93,0,5,21,0,2,8,0,15
125,66,0,8,21,0,2,10,0,15
126,87,77,13,6,0,2,15,0,15
