id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,252,8,1,1,0,8,3,0,15
33,87,8,2,7,0,1,3,0,15
34,233,8,3,2,0,1,4,0,15
35,244,0,5,7,0,1,6,0,15
36,7,0,5,8,0,1,6,0,15
37,67,0,6,7,0,1,7,0,15
38,74,0,6,7,0,1,7,0,15
39,243,8,1,2,0,1,2,0,15
40,13,0,3,8,0,1,4,0,15
41,21,0,3,8,0,1,4,0,15
42,12,9,5,7,0,1,6,0,15
43,185,8,5,5,0,2,6,0,15
44,224,8,2,3,0,6,3,0,15
45,0,17,4,1,0,4,5,0,15
46,237,8,2,2,0,6,3,0,15
47,79,8,3,7,0,1,4,0,15
48,130,0,5,7,0,1,6,0,15
49,75,8,3,7,0,1,4,0,15
50,136,0,5,7,0,1,6,0,15
51,142,0,5,7,0,1,6,0,15
52,148,0,5,7,0,1,6,0,15
53,154,0,5,7,0,1,6,0,15
54,0,9,5,7,0,1,6,0,15
55,166,0,5,7,0,1,6,0,15
56,172,0,5,7,0,1,6,0,15
57,178,0,5,7,0,1,6,0,15
58,212,8,2,5,0,3,3,0,15
59,123,8,2,6,0,3,3,0,15
60,52,8,4,7,0,1,5,0,15
61,215,8,4,3,0,4,5,0,15
62,62,8,4,7,0,1,5,0,15
63,190,0,5,7,0,1,6,0,15
64,88,0,6,7,0,2,7,0,15
65,196,0,5,7,0,1,6,0,15
66,202,0,5,7,0,1,6,0,15
67,208,0,5,7,0,1,6,0,15
68,30,9,5,7,0,1,6,0,15
69,214,0,5,7,0,1,6,0,15
70,220,0,5,7,0,1,6,0,15
71,226,0,5,7,0,1,6,0,15
72,232,0,5,7,0,1,6,0,15
73,90,8,2,7,0,1,3,0,15
74,42,9,4,7,0,1,5,0,15
75,123,0,6,7,0,1,7,0,15
76,47,8,4,7,0,1,5,0,15
77,52,0,7,7,0,1,8,0,15
78,60,0,6,7,0,1,7,0,15
79,95,0,6,7,0,1,7,0,15
80,184,0,5,7,0,1,6,0,15
81,0,0,6,8,0,1,7,0,15
82,160,0,5,7,0,1,6,0,15
83,57,8,4,7,0,1,5,0,15
84,102,0,6,7,0,1,7,0,15
85,36,9,5,7,0,1,6,0,15
86,81,0,6,7,0,1,7,0,15
87,44,0,7,7,0,1,8,0,15
88,116,0,6,7,0,1,7,0,15
89,109,0,6,7,0,1,7,0,15
90,238,0,5,7,0,1,6,0,15
91,17,0,3,8,0,1,4,0,15
92,67,8,3,7,0,1,4,0,15
93,25,0,3,8,0,1,4,0,15
94,220,8,3,3,0,1,4,0,15
95,245,8,6,1,0,7,6,0,15
96,240,8,2,2,0,1,3,0,15
97,191,8,5,5,0,3,6,0,15
98,250,0,5,7,0,1,6,0,15
99,207,8,4,5,0,3,5,0,15
100,24,9,5,7,0,1,6,0,15
101,179,8,5,5,0,3,6,0,15
102,71,8,3,7,0,1,4,0,15
103,99,8,5,6,0,3,6,0,15
104,6,9,5,7,0,1,6,0,15
105,93,8,2,7,0,1,3,0,15
106,33,0,3,8,0,1,4,0,15
107,18,9,5,7,0,1,6,0,15
108,96,8,2,7,0,1,3,0,15
109,126,8,8,5,0,3,9,0,15
110,155,8,5,5,0,3,6,0,15
111,167,8,5,5,0,3,6,0,15
112,105,8,5,6,0,3,6,0,15
113,111,8,5,6,0,3,6,0,15
114,197,8,4,5,0,3,5,0,15
115,202,8,4,5,0,3,5,0,15
116,83,8,3,7,0,1,4,0,15
117,143,8,5,5,0,3,6,0,15
118,149,8,5,5,0,3,6,0,15
119,135,8,7,5,0,3,8,0,15
120,161,8,5,5,0,3,6,0,15
121,117,8,5,6,0,3,6,0,15
122,173,8,5,5,0,3,6,0,15
123,37,0,3,8,0,1,4,0,15
124,41,0,2,8,0,1,3,0,15
125,29,0,3,8,0,1,4,0,15
126,227,8,5,2,0,1,6,0,15
