id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,98,19,1,1,0,19,7,0,15
33,247,36,5,17,0,2,7,0,15
34,56,73,8,6,0,2,10,0,15
35,39,39,12,17,0,2,14,0,15
36,16,0,12,20,0,2,14,0,15
37,166,0,15,17,0,2,17,0,15
38,182,0,15,17,0,2,17,0,15
39,71,73,3,6,0,2,5,0,15
40,29,0,8,20,0,2,10,0,15
41,56,0,8,20,0,2,10,0,15
42,91,39,12,17,0,2,14,0,15
43,76,57,12,13,0,4,14,0,15
44,37,73,5,8,0,14,7,0,15
45,97,70,10,3,0,9,12,0,15
46,75,73,5,5,0,14,7,0,15
47,238,36,8,17,0,2,10,0,15
48,48,21,12,17,0,2,14,0,15
49,220,36,8,17,0,2,10,0,15
50,61,21,12,17,0,2,14,0,15
51,74,21,12,17,0,2,14,0,15
52,87,21,12,17,0,2,14,0,15
53,100,19,12,17,0,2,14,0,15
54,204,18,12,17,0,2,14,0,15
55,126,18,12,17,0,2,14,0,15
56,139,18,12,17,0,2,14,0,15
57,152,18,12,17,0,2,14,0,15
58,11,75,5,12,0,7,7,0,15
59,70,57,5,15,0,7,7,0,15
60,167,36,10,17,0,2,12,0,15
61,17,75,10,8,0,9,12,0,15
62,200,36,10,17,0,2,12,0,15
63,178,18,12,17,0,2,14,0,15
64,98,0,15,18,0,4,17,0,15
65,191,18,12,17,0,2,14,0,15
66,104,37,12,17,0,2,14,0,15
67,217,18,12,17,0,2,14,0,15
68,117,37,12,17,0,2,14,0,15
69,230,18,12,17,0,2,14,0,15
70,243,18,12,17,0,2,14,0,15
71,0,39,12,17,0,2,14,0,15
72,13,39,12,17,0,2,14,0,15
73,0,57,5,17,0,2,7,0,15
74,156,36,10,17,0,2,12,0,15
75,150,0,15,17,0,2,17,0,15
76,178,36,10,17,0,2,12,0,15
77,132,0,17,17,0,2,19,0,15
78,32,21,15,17,0,2,17,0,15
79,214,0,15,17,0,2,17,0,15
80,165,18,12,17,0,2,14,0,15
81,0,0,15,20,0,2,17,0,15
82,113,19,12,17,0,2,14,0,15
83,189,36,10,17,0,2,12,0,15
84,230,0,15,17,0,2,17,0,15
85,130,36,12,17,0,2,14,0,15
86,198,0,15,17,0,2,17,0,15
87,114,0,17,17,0,2,19,0,15
88,16,21,15,17,0,2,17,0,15
89,0,21,15,17,0,2,17,0,15
90,26,39,12,17,0,2,14,0,15
91,38,0,8,20,0,2,10,0,15
92,246,0,8,17,0,2,10,0,15
93,65,0,8,20,0,2,10,0,15
94,28,73,8,8,0,2,10,0,15
95,81,71,15,3,0,16,14,0,15
96,65,73,5,6,0,2,7,0,15
97,153,54,12,12,0,7,14,0,15
98,52,39,12,17,0,2,14,0,15
99,0,75,10,12,0,7,12,0,15
100,65,39,12,17,0,2,14,0,15
101,218,54,12,12,0,7,14,0,15
102,211,36,8,17,0,2,10,0,15
103,18,57,12,15,0,7,14,0,15
104,78,39,12,17,0,2,14,0,15
105,6,57,5,17,0,2,7,0,15
106,74,0,8,20,0,2,10,0,15
107,143,36,12,17,0,2,14,0,15
108,12,57,5,17,0,2,7,0,15
109,89,57,19,12,0,7,22,0,15
110,127,55,12,12,0,7,14,0,15
111,140,54,12,12,0,7,14,0,15
112,31,57,12,15,0,7,14,0,15
113,44,57,12,15,0,7,14,0,15
114,231,54,10,12,0,7,12,0,15
115,242,54,10,12,0,7,12,0,15
116,229,36,8,17,0,2,10,0,15
117,166,54,12,12,0,7,14,0,15
118,179,54,12,12,0,7,14,0,15
119,109,55,17,12,0,7,19,0,15
120,192,54,12,12,0,7,14,0,15
121,57,57,12,15,0,7,14,0,15
122,205,54,12,12,0,7,14,0,15
123,83,0,8,20,0,2,10,0,15
124,92,0,5,20,0,2,7,0,15
125,47,0,8,20,0,2,10,0,15
126,43,73,12,6,0,2,14,0,15
